Cooper FX System — New Requirements & Implementation Tracker,Unnamed: 1,Unnamed: 2,Unnamed: 3
,,,
,,,
#,Requirement / Sub-task,Description,Status
Req 1,Manual Invoice Selection in FX Form,User can manually choose which SAP invoices to consume instead of auto-FIFO only,
1.1,Available Invoices API,"Returns invoices with remaining stock for a part number, sorted by FIFO",Completed
1.2,Invoice Selection Modal UI,Interactive table with per-invoice qty input and real-time validation,Completed
1.3,Backend Dual Mode Support,"Auto-FIFO (default) when no selection provided, manual when user selects",Completed
1.4,Impact Analysis,Confirmed zero breaking changes to existing reconciliation workflow,Completed
Req 2,Part History Page,View complete transaction history (incoming + outgoing) for any part with running balance,
2.1,Part History Page,Merges incoming and outgoing transactions into single chronological timeline,Completed
2.2,Running Balance,Running balance calculation across merged timeline (stock in - stock out),Completed
2.3,Customer Info Display,Customer Name and Code from InvoiceRetailPartMap and Invoice models,Completed
2.4,Retail Invoice Number,Added retail invoice number in outgoing rows for traceability,Completed
Req 3,Part History Excel Export,Export Part History data to Excel for single part or all parts,
3.1,Single-Part Export,Excel export endpoint with date range filtering (from/to date),Completed
3.2,All-Parts Export,Excel export covering every part in the system,Completed
3.3,All Fields Included,"Date, Type, Reference, Company, Customer Code, Qty, USD Rate, INR Rate, Balance",Completed
3.4,Download Button,Download button on Part History page with date filter modal,Completed
Req 4,Balance History Page,Invoice-level consumption history showing how each SAP invoice stock was consumed,
4.1,Balance History Page,Shows original invoice qty and each consumption event,Completed
4.2,Running Balance,Running balance per invoice (starting qty to after each consumption),Completed
4.3,Null Safety Fixes,Fixed 500 errors on invoices with zero/null quantities,Completed
4.4,Orphan Record Handling,Skip records with missing invoice entries,Completed
Req 5,Stock Ledger Report (Excel),"Excel report: Opening Stock, Shipment, Despatch, Closing Stock grouped by customer",
5.1,Requirement Analysis,"Mapped Excel columns to DB fields, identified data gaps",Completed
5.2,Stock Ledger Backend,"Opening Stock, Shipment, Despatch, Closing Stock calculations",Completed
5.3,Styled Excel Output,Matching Cooper required column format with subtotals row,Completed
5.4,Date Period Modal,This Month / This Year / All Time / Custom date range on Dashboard,Completed
Req 6,Customer Name & Code Visibility,Show customer name and code in invoice listings and API responses,
6.1,Invoice List API,Added customer_name and customer_code to all-invoices serializer,Completed
6.2,Part History Outgoing,Company name from InvoiceRetailPartMap for outgoing entries,Completed
6.3,Part History Incoming,Customer name from Invoice model for incoming entries,Completed
Req 7,Profit Calculation Formulas Correction,Audit and correct profit decomposition formulas,
7.1,Formula Audit,"Audited selling_profit, fx_profit, profit_absolute, profit_fx_only",Completed
7.2,Formula Verification,selling_profit = (sell_usd - buy_usd) x qty x fx_rate,Completed
7.3,Edge Case Fixes,Division by zero in fc_rate_with_discount and rate_sale_from_wh_per_unit,Completed
7.4,Formula Documentation,All formulas documented with variable definitions,Completed
Req 8,Production Bug Fixes & Hardening,"Fix crashes, null values, debug code in production",
8.1,to_decimal() Fix,"Safely handles None, empty strings, invalid values (returns 0)",Completed
8.2,.lower() Crash Fix,Fixed crash on None value in export_history endpoint,Completed
8.3,Debug Cleanup,Removed all print() debug statements from production code,Completed
8.4,Null Safety Guards,Consumption history loop guards for orphaned records and null usd_rate,Completed
Req 9,Bulk FX Upload Feature,Upload Excel file to process multiple FX entries at once,
9.1,Template Download Endpoint,Styled Excel template with all required column headers,Pending
9.2,Bulk Upload Endpoint,Each row processes independently with FIFO auto-selection,Pending
9.3,Per-Row Validation,"Missing fields, invalid numbers, duplicate invoices, insufficient stock",Pending
9.4,Result Summary Modal,Dashboard modal: Total/Success/Failed counts + per-row error details,Pending
9.5,Auto-Calculated Fields,INR rate = usd_rate x conversion_rate (server-side),Pending
Req 10,Docker Deployment Setup,Containerize application for production deployment,
10.1,Backend Dockerfile,Django backend with Python 3.11 and Gunicorn,Completed
10.2,Frontend Dockerfile,React frontend with Node 20 and Nginx,Completed
10.3,Docker Compose,Orchestrate both services with auto-restart,Completed
10.4,Production Deployment,Deploy to production server,Pending
,,,
Summary,,,
Total New Requirements,10,,
Total Sub-tasks,39,,
Completed Sub-tasks,33,,
Pending Sub-tasks,6,,
Period,"Feb 3 - Feb 19, 2026",,
,,,
Pending Items,,,
1,Bulk FX Upload Feature (Excel-based bulk entry processing),,Pending
2,Production deployment using Docker,,Pending
3,Bug fixes reported during UAT / production testing,,Pending
4,Minor UI enhancements based on client feedback,,Pending
